"word","n","relative_frequency"
"contar",52,0.000134453781512605
"daré",52,0.000134453781512605
"decís",52,0.000134453781512605
"diciéndole",52,0.000134453781512605
"iban",52,0.000134453781512605
"moros",52,0.000134453781512605
"roque",52,0.000134453781512605
"sucedido",52,0.000134453781512605
"verdadero",52,0.000134453781512605
"burla",51,0.000131868131868132
"escrito",51,0.000131868131868132
"esposa",51,0.000131868131868132
"historias",51,0.000131868131868132
"llegando",51,0.000131868131868132
"negocio",51,0.000131868131868132
"presencia",51,0.000131868131868132
"sepa",51,0.000131868131868132
"servido",51,0.000131868131868132
"efecto",50,0.000129282482223659
"fuerzas",50,0.000129282482223659
"justicia",50,0.000129282482223659
"presentes",50,0.000129282482223659
"puesta",50,0.000129282482223659
"ruido",50,0.000129282482223659
"señoras",50,0.000129282482223659
"supo",50,0.000129282482223659
"andaba",49,0.000126696832579186
"bondad",49,0.000126696832579186
"cabrero",49,0.000126696832579186
"deben",49,0.000126696832579186
"dejado",49,0.000126696832579186
"diré",49,0.000126696832579186
"disparates",49,0.000126696832579186
"enemigos",49,0.000126696832579186
"huésped",49,0.000126696832579186
"moro",49,0.000126696832579186
"paje",49,0.000126696832579186
"personas",49,0.000126696832579186
"pesar",49,0.000126696832579186
"respuesta",49,0.000126696832579186
"sacó",49,0.000126696832579186
"salud",49,0.000126696832579186
"santa",49,0.000126696832579186
"trae",49,0.000126696832579186
"blanco",48,0.000124111182934712
"conocido",48,0.000124111182934712
"cueva",48,0.000124111182934712
"dices",48,0.000124111182934712
"emperador",48,0.000124111182934712
"especialmente",48,0.000124111182934712
"general",48,0.000124111182934712
"género",48,0.000124111182934712
"pesadumbre",48,0.000124111182934712
"pusieron",48,0.000124111182934712
"real",48,0.000124111182934712
"sabes",48,0.000124111182934712
"toca",48,0.000124111182934712
"término",48,0.000124111182934712
"verdaderamente",48,0.000124111182934712
"vestidos",48,0.000124111182934712
"aquél",47,0.000121525533290239
"cargo",47,0.000121525533290239
"cinco",47,0.000121525533290239
"cólera",47,0.000121525533290239
"efeto",47,0.000121525533290239
"ingenio",47,0.000121525533290239
"muestra",47,0.000121525533290239
"opinión",47,0.000121525533290239
"perder",47,0.000121525533290239
"pidió",47,0.000121525533290239
"pocos",47,0.000121525533290239
"propósito",47,0.000121525533290239
"todavía",47,0.000121525533290239
"vuelto",47,0.000121525533290239
"with",47,0.000121525533290239
"albarda",46,0.000118939883645766
"amadís",46,0.000118939883645766
"amores",46,0.000118939883645766
"cabellos",46,0.000118939883645766
"cautivo",46,0.000118939883645766
"conocer",46,0.000118939883645766
